name, average, standard, count
Aaron_Peirsol, 0.231850, 0.008960, 3
Aaron_Sorkin, 0.430999, 0.000000, 2
Abdel_Nasser_Assidi, 0.202722, 0.000000, 2
Abdoulaye_Wade, 0.347759, 0.090511, 4
Abdullah, 0.397595, 0.081105, 4
Abdullah_al-Attiyah, 0.293355, 0.000000, 2
Abdullah_Gul, 0.298293, 0.063823, 8
Abel_Pacheco, 0.351260, 0.085483, 3
Abid_Hamid_Mahmud_Al-Tikriti, 0.266235, 0.062721, 3
Adam_Sandler, 0.230686, 0.043398, 4
Adam_Scott, 0.271083, 0.000000, 2
Adolfo_Rodriguez_Saa, 0.349240, 0.000000, 2
Adrian_McPherson, 0.319251, 0.000000, 2
Adrian_Nastase, 0.524820, 0.000000, 2
Adrien_Brody, 0.256071, 0.056728, 7
Ahmad_Masood, 0.213607, 0.000000, 2
Ahmed_Chalabi, 0.238246, 0.065077, 3
Aicha_El_Ouafi, 0.318458, 0.076371, 3
Aitor_Gonzalez, 0.306210, 0.000000, 2
Ai_Sugiyama, 0.342341, 0.110921, 4
Akbar_Hashemi_Rafsanjani, 0.346723, 0.040282, 3
Akhmed_Zakayev, 0.285302, 0.089911, 3
Alan_Ball, 0.238116, 0.000000, 2
Alan_Greenspan, 0.317847, 0.062104, 5
Alan_Mulally, 0.301433, 0.000000, 2
Alastair_Campbell, 0.320178, 0.040408, 4
Albert_Costa, 0.342328, 0.035965, 3
Albrecht_Mentz, 0.222761, 0.000000, 2
Aldo_Paredes, 0.244688, 0.000000, 2
Alec_Baldwin, 0.277349, 0.000000, 2
Alejandro_Avila, 0.220395, 0.027865, 3
Alejandro_Toledo, 0.176277, 0.075565, 9
Aleksander_Kwasniewski, 0.402123, 0.070387, 4
Alexander_Downer, 0.301306, 0.055226, 4
Alexander_Losyukov, 0.258403, 0.055608, 4
Alexander_Rumyantsev, 0.229269, 0.000000, 2
Alexandra_Stevenson, 0.253665, 0.078635, 3
Alexandra_Vodjanikova, 0.315647, 0.000000, 2
Alex_Barros, 0.241127, 0.000000, 2
Alex_Penelas, 0.166847, 0.000000, 2
Alex_Sink, 0.358518, 0.000000, 2
Alice_Fisher, 0.083350, 0.000000, 2
Alicia_Silverstone, 0.377699, 0.000000, 2
Alimzhan_Tokhtakhounov, 0.334692, 0.000000, 2
Alison_Lohman, 0.225526, 0.000000, 2
Ali_Abbas, 0.316695, 0.000000, 2
Ali_Khamenei, 0.174398, 0.040894, 3
Ali_Naimi, 0.337166, 0.106885, 4
Allen_Iverson, 0.405619, 0.000000, 2
Allison_Janney, 0.375928, 0.000000, 2
Allyson_Felix, 0.403751, 0.072103, 4
Alvaro_Noboa, 0.313951, 0.080729, 3
Alvaro_Silva_Calderon, 0.247567, 0.028861, 3
Alvaro_Uribe, 0.286712, 0.095271, 8
Al_Davis, 0.332286, 0.000000, 2
Al_Gore, 0.271913, 0.026440, 3
Al_Pacino, 0.240447, 0.045553, 3
Al_Sharpton, 0.427412, 0.119556, 6
Amanda_Beard, 0.255430, 0.000000, 2
Amanda_Bynes, 0.268087, 0.045319, 4
Amanda_Coetzer, 0.226475, 0.000000, 2
Amber_Tamblyn, 0.224492, 0.000000, 2
Amelia_Vega, 0.243385, 0.037662, 5
Amelie_Mauresmo, 0.314599, 0.078437, 6
Amer_al-Saadi, 0.220102, 0.074491, 4
Amram_Mitzna, 0.219954, 0.000000, 2
Anastasia_Myskina, 0.335769, 0.041256, 3
Ana_Guevara, 0.246828, 0.053473, 3
Ana_Palacio, 0.379247, 0.083207, 4
Anders_Ebbeson, 0.267343, 0.000000, 2
Anders_Fogh_Rasmussen, 0.351998, 0.096927, 4
Andrei_Mikhnevich, 0.312042, 0.000000, 2
Andrew_Bunner, 0.268470, 0.000000, 2
Andrew_Cuomo, 0.197579, 0.000000, 2
Andrew_Niccol, 0.203947, 0.000000, 2
Andre_Agassi, 0.371288, 0.093284, 10
Andy_Hebb, 0.400396, 0.000000, 2
Andy_Roddick, 0.309647, 0.120144, 5
Angela_Bassett, 0.295907, 0.076637, 5
Angela_Lansbury, 0.230637, 0.000000, 2
Angela_Merkel, 0.297202, 0.063062, 5
Angelina_Jolie, 0.394840, 0.093858, 7
Angelo_Reyes, 0.303373, 0.048449, 3
Anibal_Ibarra, 0.272149, 0.028851, 3
Anna_Kournikova, 0.438317, 0.093239, 6
Anna_Nicole_Smith, 0.234857, 0.000000, 2
Anneli_Jaatteenmaki, 0.245005, 0.000000, 2
Annette_Bening, 0.199347, 0.000000, 2
Annette_Lu, 0.248316, 0.000000, 2
Anne_Krueger, 0.229872, 0.000000, 2
Anne_McLellan, 0.279470, 0.026426, 3
Ann_Veneman, 0.331672, 0.059095, 6
Anthony_Fauci, 0.169062, 0.000000, 2
Anthony_Hopkins, 0.177078, 0.000000, 2
Anthony_LaPaglia, 0.219880, 0.000000, 2
Antonio_Banderas, 0.359413, 0.111873, 4
Antonio_Palocci, 0.276128, 0.063878, 7
Antonio_Trillanes, 0.387086, 0.084172, 3
Antony_Leung, 0.218828, 0.013960, 3
Anwar_Ibrahim, 0.274983, 0.000000, 2
Arianna_Huffington, 0.294727, 0.054011, 4
Ariel_Sharon, 0.370657, 0.066206, 3
Ari_Fleischer, 0.204808, 0.093807, 5
Arlen_Specter, 0.550388, 0.000000, 2
Arminio_Fraga, 0.257885, 0.066663, 5
Arnaud_Clement, 0.344138, 0.000000, 2
Arnoldo_Aleman, 0.303882, 0.038880, 3
Arnold_Palmer, 0.259553, 0.040769, 3
Arnold_Schwarzenegger, 0.431905, 0.152756, 12
Aron_Ralston, 0.290509, 0.000000, 2
Arsinee_Khanjian, 0.180512, 0.000000, 2
Arturo_Gatti, 0.294346, 0.000000, 2
Art_Hoffmann, 0.178234, 0.000000, 2
Art_Howe, 0.284527, 0.037364, 4
Arye_Mekel, 0.247646, 0.000000, 2
Asa_Hutchinson, 0.128394, 0.000000, 2
Ashanti, 0.252334, 0.044097, 5
