name, average, standard, count
Aaron_Peirsol, 0.283080, 0.062092, 4
Aaron_Sorkin, 0.430999, 0.000000, 2
Abdel_Nasser_Assidi, 0.202722, 0.000000, 2
Abdoulaye_Wade, 0.347759, 0.090511, 4
Abdullah, 0.397595, 0.081105, 4
Abdullah_al-Attiyah, 0.366059, 0.067103, 3
Abdullah_Gul, 0.355783, 0.135367, 19
Abdullatif_Sener, 0.313343, 0.000000, 2
Abel_Pacheco, 0.390263, 0.082945, 4
Abid_Hamid_Mahmud_Al-Tikriti, 0.266235, 0.062721, 3
Adam_Sandler, 0.230686, 0.043398, 4
Adam_Scott, 0.271083, 0.000000, 2
Adel_Al-Jubeir, 0.517951, 0.024438, 3
Adolfo_Aguilar_Zinser, 0.308104, 0.004235, 3
Adolfo_Rodriguez_Saa, 0.349240, 0.000000, 2
Adrian_McPherson, 0.319251, 0.000000, 2
Adrian_Nastase, 0.524820, 0.000000, 2
Adrien_Brody, 0.427880, 0.120637, 12
Ahmad_Masood, 0.213607, 0.000000, 2
Ahmed_Chalabi, 0.246090, 0.152497, 5
Ahmet_Necdet_Sezer, 0.290249, 0.000000, 2
Aicha_El_Ouafi, 0.318458, 0.076371, 3
Aitor_Gonzalez, 0.306210, 0.000000, 2
Ai_Sugiyama, 0.351881, 0.111841, 5
Akbar_Hashemi_Rafsanjani, 0.346723, 0.040282, 3
Akhmed_Zakayev, 0.285302, 0.089911, 3
Alan_Ball, 0.238116, 0.000000, 2
Alan_Greenspan, 0.317847, 0.062104, 5
Alan_Mulally, 0.301433, 0.000000, 2
Alastair_Campbell, 0.306760, 0.039845, 5
Alberto_Fujimori, 0.275854, 0.000000, 2
Alberto_Ruiz_Gallardon, 0.505051, 0.000000, 2
Albert_Costa, 0.521352, 0.199492, 6
Albrecht_Mentz, 0.222761, 0.000000, 2
Aldo_Paredes, 0.244688, 0.000000, 2
Alec_Baldwin, 0.573597, 0.151505, 4
Alejandro_Atchugarry, 0.406818, 0.000000, 2
Alejandro_Avila, 0.220395, 0.027865, 3
Alejandro_Toledo, 0.370051, 0.129179, 39
Aleksander_Kwasniewski, 0.402123, 0.070387, 4
Alexander_Downer, 0.301306, 0.055226, 4
Alexander_Losyukov, 0.258403, 0.055608, 4
Alexander_Rumyantsev, 0.229269, 0.000000, 2
Alexandra_Stevenson, 0.253665, 0.078635, 3
Alexandra_Vodjanikova, 0.315647, 0.000000, 2
Alex_Barros, 0.241127, 0.000000, 2
Alex_Penelas, 0.166847, 0.000000, 2
Alex_Sink, 0.362666, 0.014771, 3
Alice_Fisher, 0.083350, 0.000000, 2
Alicia_Silverstone, 0.377699, 0.000000, 2
Alimzhan_Tokhtakhounov, 0.334692, 0.000000, 2
Alison_Lohman, 0.225526, 0.000000, 2
Ali_Abbas, 0.316695, 0.000000, 2
Ali_Khamenei, 0.174398, 0.040894, 3
Ali_Naimi, 0.444747, 0.126984, 8
Allen_Iverson, 0.405619, 0.000000, 2
Allison_Janney, 0.375928, 0.000000, 2
Allyson_Felix, 0.386022, 0.080103, 5
Alvaro_Noboa, 0.313951, 0.080729, 3
Alvaro_Silva_Calderon, 0.513896, 0.173468, 4
Alvaro_Uribe, 0.286445, 0.119393, 35
Al_Davis, 0.332286, 0.000000, 2
Al_Gore, 0.591378, 0.179515, 8
Al_Pacino, 0.240447, 0.045553, 3
Al_Sharpton, 0.559008, 0.158435, 7
Amanda_Beard, 0.255430, 0.000000, 2
Amanda_Bynes, 0.268087, 0.045319, 4
Amanda_Coetzer, 0.226475, 0.000000, 2
Amber_Tamblyn, 0.224492, 0.000000, 2
Amelia_Vega, 0.279913, 0.054117, 7
Amelie_Mauresmo, 0.449566, 0.103854, 21
Amer_al-Saadi, 0.220102, 0.074491, 4
Amram_Mitzna, 0.219954, 0.000000, 2
Anastasia_Myskina, 0.335769, 0.041256, 3
Ana_Guevara, 0.293637, 0.114377, 7
Ana_Palacio, 0.379600, 0.063453, 8
Anders_Ebbeson, 0.427077, 0.152596, 3
Anders_Fogh_Rasmussen, 0.351998, 0.096927, 4
Andrei_Mikhnevich, 0.312042, 0.000000, 2
Andrew_Bunner, 0.268470, 0.000000, 2
Andrew_Cuomo, 0.197579, 0.000000, 2
Andrew_Niccol, 0.203947, 0.000000, 2
Andrew_Weissmann, 0.305859, 0.008660, 3
Andre_Agassi, 0.364249, 0.141706, 36
Andy_Hebb, 0.400396, 0.000000, 2
Andy_Roddick, 0.403720, 0.091794, 15
Angela_Bassett, 0.437949, 0.123223, 6
Angela_Lansbury, 0.230637, 0.000000, 2
Angela_Merkel, 0.297202, 0.063062, 5
Angelina_Jolie, 0.342443, 0.128357, 20
Angelo_Reyes, 0.586805, 0.158593, 4
Anibal_Ibarra, 0.272149, 0.028851, 3
