name, average, standard, count
Aaron_Peirsol, 0.246193, 0.093515, 4
Aaron_Sorkin, 0.278066, 0.000000, 2
Abdel_Nasser_Assidi, 0.182451, 0.000000, 2
Abdoulaye_Wade, 0.316225, 0.046257, 3
Abdullah, 0.313274, 0.052701, 4
Abdullah_al-Attiyah, 0.163314, 0.058862, 3
Abdullah_Gul, 0.337588, 0.087106, 19
Abdullatif_Sener, 0.281052, 0.000000, 2
Abel_Pacheco, 0.342352, 0.064975, 4
Abid_Hamid_Mahmud_Al-Tikriti, 0.260540, 0.090793, 3
Adam_Sandler, 0.323875, 0.072818, 4
Adam_Scott, 0.328858, 0.000000, 2
Adel_Al-Jubeir, 0.230614, 0.033563, 3
Adolfo_Aguilar_Zinser, 0.228088, 0.063082, 3
Adolfo_Rodriguez_Saa, 0.480719, 0.000000, 2
Adrian_McPherson, 0.395034, 0.000000, 2
Adrian_Nastase, 0.476835, 0.000000, 2
Adrien_Brody, 0.286637, 0.078859, 12
Ahmad_Masood, 0.353355, 0.000000, 2
Ahmed_Chalabi, 0.223945, 0.083786, 5
Ahmet_Necdet_Sezer, 0.507274, 0.000000, 2
Aicha_El_Ouafi, 0.315245, 0.109837, 3
Aitor_Gonzalez, 0.450208, 0.000000, 2
Ai_Sugiyama, 0.299185, 0.089946, 5
Akbar_Hashemi_Rafsanjani, 0.300295, 0.091592, 3
Akhmed_Zakayev, 0.454930, 0.000000, 2
Alan_Ball, 0.180216, 0.000000, 2
Alan_Greenspan, 0.325741, 0.085598, 5
Alan_Mulally, 0.381596, 0.000000, 2
Alastair_Campbell, 0.401417, 0.099437, 5
Alberto_Fujimori, 0.198371, 0.000000, 2
Alberto_Ruiz_Gallardon, 0.381499, 0.000000, 2
Albert_Costa, 0.290535, 0.121181, 6
Albrecht_Mentz, 0.120336, 0.000000, 2
Aldo_Paredes, 0.394297, 0.000000, 2
Alec_Baldwin, 0.224437, 0.052266, 4
Alejandro_Atchugarry, 0.378041, 0.000000, 2
Alejandro_Avila, 0.249769, 0.036020, 3
Alejandro_Toledo, 0.493639, 0.114578, 39
Aleksander_Kwasniewski, 0.324306, 0.053874, 4
Alexander_Downer, 0.281612, 0.066737, 4
Alexander_Losyukov, 0.222577, 0.064612, 4
Alexander_Rumyantsev, 0.139402, 0.000000, 2
Alexandra_Stevenson, 0.339377, 0.121994, 3
Alexandra_Vodjanikova, 0.321766, 0.000000, 2
Alex_Barros, 0.285815, 0.000000, 2
Alex_Penelas, 0.250080, 0.000000, 2
Alex_Sink, 0.270763, 0.045058, 3
Alice_Fisher, 0.110873, 0.000000, 2
Alicia_Silverstone, 0.321805, 0.000000, 2
Alimzhan_Tokhtakhounov, 0.340046, 0.000000, 2
Alison_Lohman, 0.257324, 0.000000, 2
Ali_Abbas, 0.243744, 0.000000, 2
Ali_Khamenei, 0.290648, 0.108273, 3
Ali_Naimi, 0.359618, 0.101395, 8
Allen_Iverson, 0.190768, 0.000000, 2
Allison_Janney, 0.174846, 0.000000, 2
Allyson_Felix, 0.334236, 0.059016, 4
Alvaro_Noboa, 0.298584, 0.105237, 3
Alvaro_Silva_Calderon, 0.269579, 0.176905, 4
Alvaro_Uribe, 0.243086, 0.115617, 35
Al_Davis, 0.261886, 0.000000, 2
Al_Gore, 0.288586, 0.053677, 8
Al_Pacino, 0.232990, 0.046818, 3
Al_Sharpton, 0.303916, 0.101476, 7
Amanda_Beard, 0.302755, 0.000000, 2
Amanda_Bynes, 0.317823, 0.053849, 4
Amanda_Coetzer, 0.283230, 0.000000, 2
Amber_Tamblyn, 0.192288, 0.000000, 2
Amelia_Vega, 0.304224, 0.058438, 7
Amelie_Mauresmo, 0.333990, 0.099512, 21
Amer_al-Saadi, 0.215371, 0.125060, 4
Amram_Mitzna, 0.265642, 0.000000, 2
Anastasia_Myskina, 0.294999, 0.071909, 3
Ana_Guevara, 0.259885, 0.057457, 7
Ana_Palacio, 0.351570, 0.056668, 8
Anders_Ebbeson, 0.400468, 0.074199, 3
Anders_Fogh_Rasmussen, 0.250899, 0.034527, 4
Andrei_Mikhnevich, 0.258648, 0.000000, 2
Andrew_Bunner, 0.216152, 0.000000, 2
Andrew_Cuomo, 0.289432, 0.000000, 2
Andrew_Niccol, 0.149665, 0.000000, 2
Andrew_Weissmann, 0.208495, 0.036948, 3
Andre_Agassi, 0.287284, 0.085881, 36
Andy_Hebb, 0.307382, 0.000000, 2
Andy_Roddick, 0.315326, 0.134614, 15
Angela_Bassett, 0.493241, 0.144773, 6
Angela_Lansbury, 0.124786, 0.000000, 2
Angela_Merkel, 0.220249, 0.093362, 5
Angelina_Jolie, 0.314771, 0.083533, 20
Angelo_Reyes, 0.316102, 0.060490, 4
Anibal_Ibarra, 0.285481, 0.016935, 3
Anna_Kournikova, 0.527125, 0.139243, 11
Anna_Nicole_Smith, 0.328568, 0.000000, 2
Anneli_Jaatteenmaki, 0.265938, 0.000000, 2
Annette_Bening, 0.252426, 0.000000, 2
Annette_Lu, 0.362619, 0.065937, 3
Anne_Krueger, 0.302927, 0.048575, 3
Anne_McLellan, 0.225872, 0.026125, 3
Ann_Veneman, 0.323684, 0.084670, 11
Anthony_Fauci, 0.206655, 0.000000, 2
Anthony_Hopkins, 0.164051, 0.000000, 2
Anthony_LaPaglia, 0.209300, 0.000000, 2
Antonio_Banderas, 0.262047, 0.085548, 5
Antonio_Palocci, 0.249013, 0.057627, 8
Antonio_Trillanes, 0.363386, 0.098110, 3
