name, average, standard, count
Aaron_Peirsol, 0.356166, 0.111082, 4
Aaron_Sorkin, 0.427306, 0.000000, 2
Abdel_Nasser_Assidi, 0.272497, 0.000000, 2
Abdoulaye_Wade, 0.483633, 0.124454, 4
Abdullah, 0.502506, 0.105355, 4
Abdullah_al-Attiyah, 0.417349, 0.151713, 3
Abdullah_Gul, 0.354344, 0.086994, 19
Abdullatif_Sener, 0.313343, 0.000000, 2
Abel_Pacheco, 0.346736, 0.069780, 4
Abid_Hamid_Mahmud_Al-Tikriti, 0.455233, 0.108385, 3
Adam_Sandler, 0.289766, 0.061755, 4
Adam_Scott, 0.322362, 0.000000, 2
Adel_Al-Jubeir, 0.517951, 0.024438, 3
Adolfo_Aguilar_Zinser, 0.330883, 0.081482, 3
Adolfo_Rodriguez_Saa, 0.616786, 0.000000, 2
Adrian_McPherson, 0.453935, 0.000000, 2
Adrian_Nastase, 0.523305, 0.000000, 2
Adrien_Brody, 0.414074, 0.082926, 12
Ahmad_Masood, 0.288028, 0.000000, 2
Ahmed_Chalabi, 0.448969, 0.086375, 5
Ahmet_Necdet_Sezer, 0.189841, 0.000000, 2
Aicha_El_Ouafi, 0.375174, 0.031836, 3
Aitor_Gonzalez, 0.271434, 0.000000, 2
Ai_Sugiyama, 0.640093, 0.157080, 5
Akbar_Hashemi_Rafsanjani, 0.335771, 0.103746, 3
Akhmed_Zakayev, 0.400813, 0.097458, 3
Alan_Ball, 0.174404, 0.000000, 2
Alan_Greenspan, 0.537022, 0.099241, 5
Alan_Mulally, 0.478351, 0.000000, 2
Alastair_Campbell, 0.398252, 0.103461, 5
Alberto_Fujimori, 0.275854, 0.000000, 2
Alberto_Ruiz_Gallardon, 0.450959, 0.000000, 2
Albert_Costa, 0.394098, 0.140544, 6
Albrecht_Mentz, 0.288934, 0.000000, 2
Aldo_Paredes, 0.312845, 0.000000, 2
Alec_Baldwin, 0.377527, 0.082730, 4
Alejandro_Atchugarry, 0.406818, 0.000000, 2
Alejandro_Avila, 0.439783, 0.091180, 3
Alejandro_Toledo, 0.344897, 0.109714, 39
Aleksander_Kwasniewski, 0.322067, 0.050555, 4
Alexander_Downer, 0.317485, 0.043922, 4
Alexander_Losyukov, 0.306154, 0.067625, 4
Alexander_Rumyantsev, 0.382687, 0.000000, 2
Alexandra_Stevenson, 0.406151, 0.123861, 3
Alexandra_Vodjanikova, 0.473915, 0.000000, 2
Alex_Barros, 0.489245, 0.000000, 2
Alex_Penelas, 0.381448, 0.000000, 2
Alex_Sink, 0.313021, 0.051096, 3
Alice_Fisher, 0.221413, 0.000000, 2
Alicia_Silverstone, 0.430149, 0.000000, 2
Alimzhan_Tokhtakhounov, 0.788072, 0.000000, 2
Alison_Lohman, 0.382431, 0.000000, 2
Ali_Abbas, 0.319398, 0.000000, 2
Ali_Khamenei, 0.268736, 0.027324, 3
Ali_Naimi, 0.295857, 0.085351, 8
Allen_Iverson, 0.293645, 0.000000, 2
Allison_Janney, 0.178883, 0.000000, 2
Allyson_Felix, 0.353817, 0.080846, 5
Alvaro_Noboa, 0.372347, 0.113473, 3
Alvaro_Silva_Calderon, 0.493922, 0.070131, 4
Alvaro_Uribe, 0.286445, 0.103336, 35
Al_Davis, 0.597042, 0.000000, 2
Al_Gore, 0.490918, 0.109056, 8
Al_Pacino, 0.419993, 0.096116, 3
Al_Sharpton, 0.524725, 0.099696, 7
Amanda_Beard, 0.170675, 0.000000, 2
Amanda_Bynes, 0.528601, 0.169259, 4
Amanda_Coetzer, 0.456017, 0.000000, 2
Amber_Tamblyn, 0.163505, 0.000000, 2
Amelia_Vega, 0.464476, 0.084105, 7
Amelie_Mauresmo, 0.450502, 0.090349, 21
Amer_al-Saadi, 0.315170, 0.070988, 4
Amram_Mitzna, 0.611079, 0.000000, 2
Anastasia_Myskina, 0.390320, 0.034499, 3
Ana_Guevara, 0.375509, 0.114210, 7
Ana_Palacio, 0.321233, 0.059261, 8
Anders_Ebbeson, 0.525389, 0.176196, 3
Anders_Fogh_Rasmussen, 0.270866, 0.073616, 4
Andrei_Mikhnevich, 0.300669, 0.000000, 2
Andrew_Bunner, 0.427794, 0.000000, 2
Andrew_Cuomo, 0.356757, 0.000000, 2
Andrew_Niccol, 0.232243, 0.000000, 2
Andrew_Weissmann, 0.313024, 0.033167, 3
Andre_Agassi, 0.347303, 0.120945, 36
Andy_Hebb, 0.227886, 0.000000, 2
Andy_Roddick, 0.309922, 0.084347, 15
Angela_Bassett, 0.384591, 0.106473, 6
Angela_Lansbury, 0.487834, 0.000000, 2
Angela_Merkel, 0.413715, 0.062714, 5
Angelina_Jolie, 0.404077, 0.119073, 20
Angelo_Reyes, 0.362882, 0.043826, 4
Anibal_Ibarra, 0.355545, 0.030450, 3
Anna_Kournikova, 0.446666, 0.106978, 12
Anna_Nicole_Smith, 0.212907, 0.000000, 2
Anneli_Jaatteenmaki, 0.512047, 0.000000, 2
Annette_Bening, 0.243707, 0.000000, 2
Annette_Lu, 0.369809, 0.057842, 3
Anne_Krueger, 0.364611, 0.047204, 3
Anne_McLellan, 0.336691, 0.031186, 3
Ann_Veneman, 0.264094, 0.078872, 11
Anthony_Fauci, 0.482824, 0.000000, 2
Anthony_Hopkins, 0.274281, 0.000000, 2
Anthony_LaPaglia, 0.277797, 0.000000, 2
Antonio_Banderas, 0.332864, 0.113027, 5
Antonio_Palocci, 0.409364, 0.096110, 8
Antonio_Trillanes, 0.324444, 0.038047, 3
Antony_Leung, 0.333272, 0.099296, 4
Anwar_Ibrahim, 0.435150, 0.000000, 2
Arantxa_Sanchez-Vicario, 0.402289, 0.000000, 2
Arianna_Huffington, 0.444327, 0.068357, 4
Ariel_Sharon, 0.398366, 0.122576, 77
Ari_Fleischer, 0.402089, 0.096065, 13
Arlen_Specter, 0.402751, 0.101202, 3
Arminio_Fraga, 0.459788, 0.150432, 6
Arnaud_Clement, 0.660294, 0.000000, 2
Arnoldo_Aleman, 0.371383, 0.069122, 5
Arnold_Palmer, 0.526369, 0.060163, 3
Arnold_Schwarzenegger, 0.273028, 0.108126, 42
Aron_Ralston, 0.504906, 0.000000, 2
Arsinee_Khanjian, 0.337230, 0.000000, 2
Arturo_Gatti, 0.427309, 0.096995, 3
Art_Hoffmann, 0.271743, 0.000000, 2
Art_Howe, 0.462015, 0.090544, 4
Arye_Mekel, 0.400011, 0.000000, 2
Asa_Hutchinson, 0.266311, 0.000000, 2
Ashanti, 0.511949, 0.088379, 5
Ashton_Kutcher, 0.335299, 0.033059, 3
Atal_Bihari_Vajpayee, 0.405111, 0.105558, 24
Augustin_Calleri, 0.426967, 0.078884, 4
Augusto_Pinochet, 0.425873, 0.000000, 2
Augusto_Roa_Bastos, 0.348592, 0.000000, 2
Aung_San_Suu_Kyi, 0.327013, 0.000000, 2
Azra_Akin, 0.255319, 0.048153, 4
Barbara_Brezigar, 0.294209, 0.000000, 2
Barbara_Walters, 0.398671, 0.065067, 4
Barbra_Streisand, 0.344284, 0.050721, 3
Barrett_Jackman, 0.282304, 0.000000, 2
Barry_Alvarez, 0.685366, 0.000000, 2
Barry_Zito, 0.516384, 0.000000, 2
Bashar_Assad, 0.305594, 0.081808, 4
Begum_Khaleda_Zia, 0.469423, 0.000000, 2
Benazir_Bhutto, 0.311977, 0.100847, 5
Benjamin_Netanyahu, 0.341446, 0.122603, 5
Ben_Affleck, 0.463591, 0.092917, 7
Ben_Curtis, 0.320528, 0.080862, 3
Ben_Glisan, 0.247770, 0.000000, 2
Ben_Howland, 0.294237, 0.088276, 4
Bernardo_Segura, 0.464804, 0.000000, 2
Bernard_Landry, 0.418093, 0.086413, 4
