name, average, standard, count
Aaron_Peirsol, 0.302896, 0.049721, 4
Aaron_Sorkin, 0.387762, 0.000000, 2
Abdel_Nasser_Assidi, 0.143412, 0.000000, 2
Abdoulaye_Wade, 0.480071, 0.105451, 4
Abdullah, 0.244394, 0.087752, 4
Abdullah_al-Attiyah, 0.231768, 0.104137, 3
Abdullah_Gul, 0.330947, 0.102262, 19
Abdullatif_Sener, 0.402263, 0.000000, 2
Abel_Pacheco, 0.278555, 0.057225, 4
Abid_Hamid_Mahmud_Al-Tikriti, 0.307943, 0.029820, 3
Adam_Sandler, 0.259611, 0.049055, 4
Adam_Scott, 0.211334, 0.000000, 2
Adel_Al-Jubeir, 0.299835, 0.098481, 3
Adolfo_Aguilar_Zinser, 0.337282, 0.059128, 3
Adolfo_Rodriguez_Saa, 0.389752, 0.000000, 2
Adrian_McPherson, 0.363073, 0.000000, 2
Adrian_Nastase, 0.318421, 0.000000, 2
Adrien_Brody, 0.192194, 0.083022, 12
Ahmad_Masood, 0.198370, 0.000000, 2
Ahmed_Chalabi, 0.216290, 0.049035, 5
Ahmet_Necdet_Sezer, 0.322724, 0.000000, 2
Aicha_El_Ouafi, 0.287929, 0.066126, 3
Aitor_Gonzalez, 0.462843, 0.000000, 2
Ai_Sugiyama, 0.248409, 0.097507, 5
Akbar_Hashemi_Rafsanjani, 0.267641, 0.082785, 3
Akhmed_Zakayev, 0.254810, 0.052351, 3
Alan_Ball, 0.167456, 0.000000, 2
Alan_Greenspan, 0.233255, 0.036897, 5
Alan_Mulally, 0.305156, 0.000000, 2
Alastair_Campbell, 0.297713, 0.067172, 5
Alberto_Fujimori, 0.157091, 0.000000, 2
Alberto_Ruiz_Gallardon, 0.259878, 0.000000, 2
Albert_Costa, 0.305158, 0.045490, 6
Albrecht_Mentz, 0.302224, 0.000000, 2
Aldo_Paredes, 0.212436, 0.000000, 2
Alec_Baldwin, 0.372409, 0.105381, 4
Alejandro_Atchugarry, 0.332206, 0.000000, 2
Alejandro_Avila, 0.241295, 0.042393, 3
Alejandro_Toledo, 0.264069, 0.071996, 39
Aleksander_Kwasniewski, 0.222332, 0.092170, 4
Alexander_Downer, 0.298923, 0.042921, 4
Alexander_Losyukov, 0.305249, 0.064491, 4
Alexander_Rumyantsev, 0.176202, 0.000000, 2
Alexandra_Stevenson, 0.281160, 0.046173, 3
Alexandra_Vodjanikova, 0.278436, 0.000000, 2
Alex_Barros, 0.239611, 0.000000, 2
Alex_Penelas, 0.292369, 0.000000, 2
Alex_Sink, 0.210193, 0.040931, 3
Alice_Fisher, 0.259381, 0.000000, 2
Alicia_Silverstone, 0.171000, 0.000000, 2
Alimzhan_Tokhtakhounov, 0.354742, 0.000000, 2
Alison_Lohman, 0.224423, 0.000000, 2
Ali_Abbas, 0.314836, 0.000000, 2
Ali_Khamenei, 0.288808, 0.048499, 3
Ali_Naimi, 0.329315, 0.074619, 8
Allen_Iverson, 0.228274, 0.000000, 2
Allison_Janney, 0.207157, 0.000000, 2
Allyson_Felix, 0.300449, 0.030264, 5
Alvaro_Noboa, 0.286749, 0.081004, 3
Alvaro_Silva_Calderon, 0.277304, 0.046564, 4
Alvaro_Uribe, 0.185642, 0.062150, 35
Al_Davis, 0.361434, 0.000000, 2
Al_Gore, 0.337249, 0.086345, 8
Al_Pacino, 0.289943, 0.019916, 3
Al_Sharpton, 0.276870, 0.088640, 7
Amanda_Beard, 0.314118, 0.000000, 2
Amanda_Bynes, 0.316839, 0.064233, 4
Amanda_Coetzer, 0.310521, 0.000000, 2
Amber_Tamblyn, 0.180191, 0.000000, 2
Amelia_Vega, 0.277928, 0.054518, 7
Amelie_Mauresmo, 0.272979, 0.077349, 21
Amer_al-Saadi, 0.224546, 0.070732, 4
Amram_Mitzna, 0.395347, 0.000000, 2
Anastasia_Myskina, 0.298638, 0.051423, 3
Ana_Guevara, 0.204636, 0.039776, 7
Ana_Palacio, 0.263857, 0.064935, 8
Anders_Ebbeson, 0.312593, 0.079127, 3
Anders_Fogh_Rasmussen, 0.276287, 0.037407, 4
Andrei_Mikhnevich, 0.433933, 0.000000, 2
Andrew_Bunner, 0.359378, 0.000000, 2
Andrew_Cuomo, 0.279325, 0.000000, 2
Andrew_Niccol, 0.192471, 0.000000, 2
Andrew_Weissmann, 0.187745, 0.012725, 3
Andre_Agassi, 0.284392, 0.068489, 36
Andy_Hebb, 0.260953, 0.000000, 2
Andy_Roddick, 0.215494, 0.071964, 15
Angela_Bassett, 0.211270, 0.050610, 6
Angela_Lansbury, 0.273275, 0.000000, 2
Angela_Merkel, 0.334384, 0.092568, 5
Angelina_Jolie, 0.279057, 0.069144, 20
Angelo_Reyes, 0.311565, 0.082445, 4
Anibal_Ibarra, 0.292540, 0.067109, 3
Anna_Kournikova, 0.349059, 0.069803, 12
Anna_Nicole_Smith, 0.342789, 0.000000, 2
Anneli_Jaatteenmaki, 0.273375, 0.000000, 2
Annette_Bening, 0.188643, 0.000000, 2
Annette_Lu, 0.211273, 0.056309, 3
Anne_Krueger, 0.322657, 0.059283, 3
Anne_McLellan, 0.195770, 0.017162, 3
Ann_Veneman, 0.256196, 0.055255, 11
Anthony_Fauci, 0.237480, 0.000000, 2
Anthony_Hopkins, 0.313562, 0.000000, 2
Anthony_LaPaglia, 0.279319, 0.000000, 2
Antonio_Banderas, 0.414814, 0.094442, 5
Antonio_Palocci, 0.194207, 0.046825, 8
Antonio_Trillanes, 0.292368, 0.057689, 3
Antony_Leung, 0.237239, 0.058646, 4
Anwar_Ibrahim, 0.210183, 0.000000, 2
Arantxa_Sanchez-Vicario, 0.316569, 0.000000, 2
Arianna_Huffington, 0.395454, 0.116793, 4
Ariel_Sharon, 0.300826, 0.086497, 77
Ari_Fleischer, 0.364809, 0.091522, 13
Arlen_Specter, 0.517982, 0.219967, 3
Arminio_Fraga, 0.192542, 0.135732, 6
Arnaud_Clement, 0.318369, 0.000000, 2
Arnoldo_Aleman, 0.251642, 0.034597, 5
Arnold_Palmer, 0.279743, 0.018560, 3
Arnold_Schwarzenegger, 0.421817, 0.103734, 42
Aron_Ralston, 0.365614, 0.000000, 2
Arsinee_Khanjian, 0.365340, 0.000000, 2
